real answer,generated answer,source,annotation group,index,bx reaction score,kc reaction score,ds reaction score,reaction id,gn reaction score
"WNT5A/11:FZD:G-protein (alpha o/t2) active [plasma membrane] (complex of FZD2 [plasma membrane] (UniProt: Q14332), FZD3 [plasma membrane] (UniProt: Q9NPG1), FZD4 [plasma membrane] (UniProt: Q9ULV1), FZD5 [plasma membrane] (UniProt: Q13467), FZD6 [plasma membrane] (UniProt: O60353), GNAO1 [plasma membrane] (UniProt: P09471), GNAT2 [plasma membrane] (UniProt: P19087), GTP [cytosol] (ChEBI: 37565)), GDP [cytosol] (ChEBI: 58189)", N/A,deepseek,2,37,,,0.0,R-HSA-3965444,0.0
"SORL1:APP(18-770) [Golgi lumen] (complex of APP(18-770) [Golgi lumen] (UniProt: P05067), SORL1 [Golgi membrane] (UniProt: Q92673))", N/A,deepseek,2,38,,,0.0,R-HSA-8871506,0.0
"CD8:Nef:AP-2 Complex:v-ATPase Complex [plasma membrane] (complex of ATP6V1H [plasma membrane] (UniProt: Q9UI12), AP2A2(1-939) [cytosol] (UniProt: O94973), AP2A1 [cytosol] (UniProt: O95782), AP2B1 [cytosol] (UniProt: P63010), AP2M1 [cytosol] (UniProt: Q96CW1), AP2S1 [cytosol] (UniProt: P53680), CD8B [plasma membrane] (UniProt: P10966), myristoylated nef [cytosol] (UniProt: P04601))","2-AP [cytosol] (ChEBI: 14062), ATP [cytosol] (ChEBI: 15421)",deepseek,2,39,,,0.0,R-HSA-182186,0.0
"GDP [cytosol] (ChEBI: 58189), p21 RAS:GTP [plasma membrane] (complex of GTP [cytosol] (ChEBI: 37565), S-Farn-Me PalmS NRAS [plasma membrane] (UniProt: P01111), S-Farn-Me-2xPalmS HRAS [plasma membrane] (UniProt: P01112))","1,4,7-tris-(5-phosphosulfate) guanosine triphosphate (pGS) [plasma membrane]",qwen,1,40,0.0,0.0,,R-HSA-5655347,
"PAX2:EMX2 gene [nucleoplasm] (complex of EMX2 gene [nucleoplasm] (ENSEMBL: ENSG00000170370), PAX2 [nucleoplasm] (UniProt: Q02962))",,qwen,1,41,0.0,0.0,,R-HSA-9830461,
"OSCAR:Collagen I,II,III/SP-D [extracellular region] (complex of OSCAR [extracellular region] (UniProt: Q8IYS5))",,qwen,1,42,0.0,0.0,,R-HSA-5696356,
"integrin alpha4beta1:JAM2:JAM3 [plasma membrane] (complex of ITGB1 [plasma membrane] (UniProt: P05556), ITGA4 [plasma membrane] (UniProt: P13612), JAM3 [plasma membrane] (UniProt: Q9BX67), JAM2 [plasma membrane] (UniProt: P57087))",,qwen,1,43,0.0,0.0,,R-HSA-202706,
Voltage-gated Calcium Channels Type Cav1 (closed) [plasma membrane],"1,2-Cyclohexanediol (ChEBI: 12345), Calcium ions (ChEBI: 4007)",qwen,1,44,0.0,0.0,,R-HSA-400046,
Cleaved collagen type VIII fibril [extracellular region],,qwen,1,45,0.0,0.0,,R-HSA-2482180,
"ERBB4s80:ESR1:estrogen [nucleoplasm] (complex of ESR1 [nucleoplasm] (UniProt: P03372), ESTG [nucleoplasm] (ChEBI: 50114))",,qwen,1,46,0.0,0.0,,R-HSA-1254386,
p-S387-RFWD2 [cytosol] (UniProt: Q8NHY2),3-phospho-RFWD2 [nucleoplasm],qwen,1,47,1.0,1.0,,R-HSA-264418,
"IL1R1:IL1:IL1RAP:p-T342,T345,S346-IRAK4:MYD88 dimer:TOLLIP:p-2S,S376,T,T209,T378-IRAK1:TRAF6 [plasma membrane] (complex of IL1R1 [plasma membrane] (UniProt: P14778), Myr82K-Myr83K-IL1A [extracellular region] (UniProt: P01583), IL1B [extracellular region] (UniProt: P01584), p-T342,T345,S346-IRAK4 [cytosol] (UniProt: Q9NWZ3), TOLLIP [cytosol] (UniProt: Q9H0E2), MYD88 [cytosol] (UniProt: Q99836), p-2S,S376,T,T209,T387-IRAK1 [cytosol] (UniProt: P51617), TRAF6 [cytosol] (UniProt: Q9Y4K3))",,qwen,1,48,0.0,0.0,,R-HSA-446862,
SLC7A11 [plasma membrane] (UniProt: Q9UPY5),100 amino acids,qwen,1,49,0.0,0.0,,R-HSA-9761841,
"HCYS [cytosol] (ChEBI: 58199), Ade-Rib [cytosol] (ChEBI: 16335)","3-hydroxybutyrate [cytosol] (ChEBI: 12578), NADH [cytosol] (ChEB",qwen,2,50,,,0.0,R-HSA-174401,0.0
"CHUK:p-S177,S181-IKBKB:pUb-IKBKG [cytosol] (complex of CHUK [cytosol] (UniProt: O15111), p-S177,S181-IKBKB [cytosol] (UniProt: O14920), K63polyUb-IKBKG [cytosol] (UniProt: Q9Y6K9))", ,qwen,2,51,,,0.0,R-HSA-9758604,0.0
"GCLC gene:p-AcK-NFE2L2:CREBBP, EP300 [nucleoplasm] (complex of GCLC gene [nucleoplasm] (ENSEMBL: ENSG00000001084), CREBBP [nucleoplasm] (UniProt: Q92793), EP300 [nucleoplasm] (UniProt: Q09472))",1,qwen,2,52,,,0.0,R-HSA-9760099,0.0
"THFPG [cytosol] (ChEBI: 28624), L-Ser [cytosol] (ChEBI: 33384)","5-hydroxy-L-methylpyrrole-4-carboxylate (ChEBI: 12277), GDP (ChEBI: 58189)",qwen,2,53,,,0.0,R-HSA-200651,0.0
"Activated FGFR2:pY-SHC1:GRB2:SOS1 [plasma membrane] (complex of SOS1 [cytosol] (UniProt: Q07889), FGF7 [extracellular region] (UniProt: P21781), FGF1 [extracellular region] (UniProt: P05230), FGF3 [extracellular region] (UniProt: P11487), FGF10 [extracellular region] (UniProt: O15520), FGF22 [extracellular region] (UniProt: Q9HCT0), HS [extracellular region] (ChEBI: 28815), FGF16 [extracellular region] (UniProt: O43320), FGF18 [extracellular region] (UniProt: O76093), FGF2(10-155) [extracellular region] (UniProt: P09038), FGF4 [extracellular region] (UniProt: P08620), FGF6 [extracellular region] (UniProt: P10767), FGF9 [extracellular region] (UniProt: P31371), FGF20 [extracellular region] (UniProt: Q9NP95), GalNAc-T178-FGF23(25-251) [extracellular region] (UniProt: Q9GZV9))",,qwen,2,54,,,0.0,R-HSA-5654406,0.0
"GPCho [cytosol] (ChEBI: 16870), LCFA(-) [endoplasmic reticulum membrane] (ChEBI: 57560)",2-hydroxyacyl LPC [cytosol] (ChEBI:,qwen,2,55,,,0.0,R-HSA-1482612,0.0
Nascent M2-1 [cytosol] (UniProt: P04545),5' hydroxy-m7GpppAm-m2 mRNA [cytosol],qwen,2,56,,,0.0,R-HSA-9828723,0.0
"NLRP3 elicitor small molecules:NLRP3 [cytosol] (complex of HUA [cytosol] (ChEBI: 16336), SiO2 [cytosol] (ChEBI: 30563), Asb [cytosol] (ChEBI: 46661), NLRP3 [cytosol] (UniProt: Q96P20)), SUGT1:HSP90 [cytosol] (complex of HSP90AB1 [cytosol] (UniProt: P08238), SUGT1 [cytosol] (UniProt: Q9Y2Z0))",,qwen,2,57,,,0.0,R-HSA-1306876,0.0
K+ [extracellular region] (ChEBI: 29103),,qwen,2,58,,,0.0,R-HSA-5577237,0.0
PSME2 [nucleoplasm] (UniProt: Q9UL46),"2-oxoglutarate (ChEBI: 12888), acetyl-CoA (ChEBI: 12889",qwen,2,59,,,0.0,R-HSA-8950260,0.0
GADD45A [nucleoplasm] (UniProt: P24522),"1 GADD45A protein [nucleoplasm] (ENSEMBL: ENSP00000116717)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FAD [mitochondrial matrix] (ChEBI: 15426)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), O2 [mitochondrial matrix] (ChEBI: 15427)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), H2O2 [mitochondrial matrix] (ChEBI: 15428)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), CO2 [mitochondrial matrix] (ChEBI: 15429)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), CO3- [mitochondrial matrix] (ChEBI: 15430)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), H+ [mitochondrial matrix] (ChEBI: 15421)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), H+ [mitochondrial matrix] (ChEBI: 15421)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424)
Products",mistral,1,60,1.0,1.0,,R-HSA-9617853,
"EOMES:p-2S-SMAD2,3:SMAD4:GATA6:CXCR4 gene [nucleoplasm] (complex of EOMES [nucleoplasm] (UniProt: O95936), GATA6 [nucleoplasm] (UniProt: Q92908), p-S423,S425-SMAD3 [nucleoplasm] (UniProt: P84022), SMAD4 [nucleoplasm] (UniProt: Q13485), p-S465,S467-SMAD2 [nucleoplasm] (UniProt: Q15796), CXCR4 gene [nucleoplasm] (ENSEMBL: ENSG00000121966))","2S-SMAD2,3:SMAD4 [nucleoplasm] (UniProt: P84022), CXCR4 [nucleoplasm] (UniProt: Q13485)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424), O2 [mitochondrial matrix] (ChEBI: 15425)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15426), FAD [mitochondrial matrix] (ChEBI: 15427), H2O2 [mitochondrial matrix] (ChEBI: 15428)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424), O2 [mitochondrial matrix] (ChEBI: 15425)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15426), FAD [mitochondrial matrix] (ChEBI: 15427), H2O2 [mitochondrial matrix] (ChEBI: 15428)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424), O2 [mitochondrial matrix] (ChEBI: 15425)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15426), FAD [mitochondrial matrix] (ChEBI: 15427), H2O2 [mitochondrial matrix] (ChEBI: 15428)

Enzyme: N/A",mistral,1,61,0.167,0.333,,R-HSA-9823952,
"IRAK1/or IRAK2:p-IRAK4:MyD88 oligomer:TIRAP:activated TLR [plasma membrane] (complex of IRAK1 [plasma membrane] (UniProt: P51617), IRAK2 [plasma membrane] (UniProt: O43187), MYD88 [plasma membrane] (UniProt: Q99836), TLR2 [plasma membrane] (UniProt: O60603), TLR1 [plasma membrane] (UniProt: Q15399), Major outer membrane protein P [extracellular region] (UniProt: P30690), Triacyl lipopeptide [extracellular region] (ChEBI: 60192), GPIN-CD14(20-345) [plasma membrane] (UniProt: P08571), TLR6 [plasma membrane] (UniProt: Q9Y2C9), 4xPalmC-CD36 [plasma membrane] (UniProt: P16671), Clostridial peptidoglycan [extracellular region] (ChEBI: 8005), Diacyl lipopeptide [extracellular region] (ChEBI: 46896), Lipoteichoic acid [extracellular region] (ChEBI: 28640), mip [extracellular region] (UniProt: P26623), 2xN4GlycoAsn-LY96 [plasma membrane] (UniProt: Q9Y6Y9), 2xN4GlycoAsn-TLR4 [plasma membrane] (UniProt: O00206), LPS [extracellular region] (ChEBI: 16412), HC23,45-HMGB1 [extracellular region] (UniProt: P09429), S100A1 [extracellular region] (UniProt: P23297), Ca2+ [extracellular region] (ChEBI: 29108), S100A8 [extracellular region] (UniProt: P05109), S100A9 [extracellular region] (UniProt: P06702), FGA(20-35) [extracellular region] (UniProt: P02671), FGB(31-44) [extracellular region] (UniProt: P02675), FGG [extracellular region] (UniProt: P02679), BTK [cytosol] (UniProt: Q06187), PI(4,5)P2 [plasma membrane] (ChEBI: 58456), p-4Y-TIRAP [plasma membrane] (UniProt: P58753), p-T342,T345,S346-IRAK4 [plasma membrane] (UniProt: Q9NWZ3))","2xN4GlycoAsn-IRAK4:oligo-MyD88:TIRAP:activated TLR receptor [plasma membrane] (complex of MYD88 [plasma membrane] (UniProt: Q99836), TLR2 [plasma membrane] (UniProt: O60603), TLR1 [plasma membrane] (UniProt: Q15399), Major outer membrane protein P [extracellular region] (UniProt: P30690), Triacyl lipopeptide [extracellular region] (ChEBI: 60192), GPIN-CD14(20-345) [plasma membrane] (UniProt: P08571), TLR6 [plasma membrane] (UniProt: Q9Y2C9), 4xPalmC-CD36 [plasma membrane] (UniProt: P16671), Clostridial peptidoglycan [extracellular region] (ChEBI: 8005), Diacyl lipopeptide [extracellular region] (ChEBI: 46896), Lipoteichoic acid [extracellular region] (ChEBI: 28640), mip [extracellular region] (UniProt: P26623), 2xN4GlycoAsn-LY96 [plasma membrane] (UniProt: Q9Y6Y9), 2xN4GlycoAsn-TLR4 [plasma membrane] (UniProt: O00206), LPS [extracellular region] (ChEBI: 16412), HC23,45-HMGB1 [extracellular region] (UniProt: P09429), S100A1 [extracellular region] (UniProt: P23297), Ca2+ [extracellular region] (ChEBI: 29108),",mistral,1,62,0.6,0.621,,R-HSA-166091,
"p-Y1019-ROBO3.1:DCC:NTN1 [plasma membrane] (complex of NTN1 [extracellular region] (UniProt: O95631), DCC [plasma membrane] (UniProt: P43146)), ADP [cytosol] (ChEBI: 456216)","3-phospho-myristoyl-GTP [plasma membrane] (ChEBI: 41711), ADP [cytosol] (ChEBI: 16761)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 4",mistral,1,63,0.5,0.5,,R-HSA-9011241,
EYA1 [nucleoplasm] (UniProt: Q99502),"1-methyl-2-nitroimidazole-1-carboxamide (ChEBI: 10000)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FAD [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FADH2 [mitochondrial matrix] (ChEBI: 15426)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), O2 [mitochondrial matrix] (ChEBI: 15427)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), H2O2 [mitochondrial matrix] (ChEBI: 15428)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), CO2 [mitochondrial matrix] (ChEBI: 15429)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), CO2H2O [mitochondrial matrix] (ChEBI: 15430)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), H+ [mitochondrial matrix] (ChEBI: 15421)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), H+ [mitochondrial matrix] (ChEBI: 15421)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FAD [mitochondrial matrix] (ChEBI: 15424)
Products:",mistral,1,64,0.0,0.0,,R-HSA-9830945,
L1:FGFR1 [plasma membrane] (complex of L1CAM [plasma membrane] (UniProt: P32004)),"4-1BB [plasma membrane] (UniProt: P04111), L1 homodimer [plasma membrane] (complex of L1CAM [plasma membrane] (UniProt: P32004))

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochondrial matrix]

Enzyme: N/A
Reactants: NADH [mitochondrial matrix], FAD [mitochondrial matrix]
Products: NAD+ [mitochondrial matrix], FADH2 [mitochond",mistral,1,65,0.0,0.0,,R-HSA-437230,
"ub-GLI1:NUMB:ITCH [cytosol] (complex of ITCH [cytosol] (UniProt: Q96J02), NUMB [plasma membrane] (UniProt: P49757), ub-GLI1 [cytosol] (UniProt: P08151))","2xGLI1:NUMB:ITCH [cytosol] (complex of ITCH [cytosol] (UniProt: Q96J02), NUMB [plasma membrane] (UniProt: P49757), GLI1 [cytosol] (UniProt: P08151)), Ub-Ub [cytosol] (complex of RPS27A(1-76) [cytosol] (UniProt: P62979), UBA52(1-76) [cytosol] (UniProt: P62987), UBB(1-76) [cytosol] (UniProt: P0CG47), UBC(1-76) [cytosol] (UniProt: P0CG48))

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), AMP [mitochondrial matrix] (ChEBI: 456215)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ADP [mitochondrial matrix] (ChEBI: 456216)
",mistral,1,66,0.667,0.667,,R-HSA-5635864,
"p-Y701-STAT1:p-Y705-STAT3 [nucleoplasm] (complex of p-Y705-STAT3 [nucleoplasm] (UniProt: P40763), p-Y701-STAT1 [nucleoplasm] (UniProt: P42224))","2x p-Y701-STAT1:p-Y705-STAT3 [cytosol] (complex of p-Y701-STAT1 [cytosol] (UniProt: P42224), p-Y705-STAT3 [cytosol] (UniProt: P40763))

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FAD [mitochondrial matrix] (ChEBI: 15426)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FAD [mitochondrial matrix] (ChEBI: 15426), CO2 [mitochondrial matrix] (ChEBI: 15427)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FAD [mitochondrial matrix] (ChEBI: 15426), CO2 [mitochondrial matrix] (ChEBI: 15427), NADH [mitochondrial matrix] (ChEBI: 15423)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FADH2 [mitochondrial matrix] (ChEBI",mistral,1,67,1.0,1.0,,R-HSA-8950733,
"2OG [cytosol] (ChEBI: 16810), L-Asp [cytosol] (ChEBI: 29991)","2-oxoglutarate [cytosol] (ChEBI: 4171), CO2 [cytosol] (ChEBI: 10001)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), ADP [mitochondrial matrix] (ChEBI: 456216)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ATP [mitochondrial matrix] (ChEBI: 15422)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), ADP [mitochondrial matrix] (ChEBI: 456216)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ATP [mitochondrial matrix] (ChEBI: 15422)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), ADP [mitochondrial matrix] (ChEBI: 456216)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ATP [mitochondrial matrix] (ChEBI: 15422)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), ADP [mitochondrial matrix] (ChEBI: 456216)
Products: GDP [mitochondrial matrix] (ChEBI: 58189), ATP [mitochondrial matrix] (ChEBI: 15422)

Enzyme: N/A
Reactants: GTP [mitochondrial matrix] (ChEBI: 37565), ADP [mitochondrial matrix] (ChEBI: 456216)
Products: G",mistral,1,68,0.5,0.5,,R-HSA-70581,
Fe2+ [mitochondrial matrix] (ChEBI: 29033),"2+ Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), Fe2+ [mitochondrial matrix] (ChEBI: 29033)

Enzyme: N/A
Reactants: 2+ Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), 2+ Fe2+ [mitochondrial matrix] (ChEBI: 29033)
Products: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), Fe2+ [mitochondrial matrix] (ChEBI: 29033)

Enzyme: N/A
Reactants: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), 2+ Fe2+ [mitochondrial matrix] (ChEBI: 29033)
Products: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), Fe2+ [mitochondrial matrix] (ChEBI: 29033)

Enzyme: N/A
Reactants: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), 2+ Fe2+ [mitochondrial matrix] (ChEBI: 29033)
Products: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), Fe2+ [mitochondrial matrix] (ChEBI: 29033)

Enzyme: N/A
Reactants: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), 2+ Fe2+ [mitochondrial matrix] (ChEBI: 29033)
Products: Fe2+ [mitochondrial intermembrane space] (ChEBI: 29033), Fe2+ [mitochondrial matrix] (ChEBI: 2",mistral,1,69,1.0,1.0,,R-HSA-1362417,
"TCF/LEF:CTNNB1:AXIN2 gene [nucleoplasm] (complex of AXIN2 gene [nucleoplasm] (ENSEMBL: ENSG00000168646), CTNNB1 [nucleoplasm] (UniProt: P35222), TCF7L1 [nucleoplasm] (UniProt: Q9HCS4), TCF7L2 [nucleoplasm] (UniProt: Q9NQB0), LEF1 [nucleoplasm] (UniProt: Q9UJU2), TCF7 [nucleoplasm] (UniProt: P36402))","β-catenin [nucleoplasm] (UniProt: P35223), TCF/LEF:CTNNB1 [nucleoplasm] (complex of CTNNB1 [nucleoplasm] (UniProt: P35222), TCF7L1 [nucleoplasm] (UniProt: Q9HCS4), TCF7L2 [nucleoplasm] (UniProt: Q9NQB0), LEF1 [nucleoplasm] (UniProt: Q9UJU2), TCF7 [nucleoplasm] (UniProt: P36402))

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FAD [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FADH2 [mitochondrial matrix] (ChEBI: 15426)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FAD [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FADH2 [mitochondrial matrix] (ChEBI: 15426)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 15423), FAD [mitochondrial matrix] (ChEBI: 15424)
Products: NAD+ [mitochondrial matrix] (ChEBI: 15425), FADH2 [mitochondrial matrix] (ChEBI: 15426)

Enzyme: N/A
Reactants: NADH [mitochondrial matrix] (ChEBI: 1542",mistral,2,70,,,0.714285714285714,R-HSA-4411351,0.75
"Pi [nucleoplasm] (ChEBI: 43474), HSP90:HSP90 [nucleoplasm] (complex of HSP90AA1 [nucleoplasm] (UniProt: P07900), HSP90AB1 [nucleoplasm] (UniProt: P08238)), ADP [nucleoplasm] (ChEBI: 456216), PTGES3 [nucleoplasm] (UniProt: Q15185), FKBP4 [nucleoplasm] (UniProt: Q02790), SHR:SH [nucleoplasm] (complex of NR3C2 [nucleoplasm] (UniProt: P08235), ALDO [nucleoplasm] (ChEBI: 27584), CORT [nucleoplasm] (ChEBI: 17650), 11DCORST [nucleoplasm] (ChEBI: 16973), AR [nucleoplasm] (UniProt: P10275), DHTEST [nucleoplasm] (ChEBI: 16330), TEST [nucleoplasm] (ChEBI: 17347), androst-4-en-3,17-dione [nucleoplasm] (ChEBI: 16422), 6-Dehydrotestosterone [nucleoplasm] (ChEBI: 29117), P4 [nucleoplasm] (ChEBI: 17026), PGR [nucleoplasm] (UniProt: P06401), CORST [nucleoplasm] (ChEBI: 16827), NR3C1 [nucleoplasm] (UniProt: P04150))","17-Hydroxyprogesterone [nucleoplasm] (ChEBI: 17651), 17-Hydroxydehydroepiandrosterone [nucleoplasm] (ChEBI: 29118), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost-4-en-3,17-dione [nucleoplasm] (ChEBI: 16423), 17-Hydroxyandrost",mistral,2,71,,,0.0,R-HSA-5618093,0.0
